City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,gambiran satu,-8.3939,114.1464,71.24,94,83,1.61,ID,1690821064
288,westport,41.1415,-73.3579,83.98,51,0,10.36,US,1690821064
289,caconda,-13.7333,15.0667,71.91,21,62,5.44,AO,1690821065
290,lodwar,3.1191,35.5973,88.68,39,93,4.99,KE,1690821065
291,ta`u,-14.2336,-169.5144,80.47,78,82,11.21,AS,1690821065
292,mramani,-12.3464,44.5286,76.5,76,7,2.37,KM,1690821065
293,port macquarie,-31.4333,152.9167,50.9,90,1,5.93,AU,1690820866
294,likasi,-10.9814,26.7333,70.23,25,69,2.95,CD,1690821066
295,ola,59.5833,151.2833,55.15,86,100,3.42,RU,1690821066
296,bulayevo,54.9056,70.4439,66.31,74,65,1.34,KZ,1690821066
297,datong,40.0936,113.2914,68.77,96,36,5.17,CN,1690821067
298,al mutayrifi,25.4788,49.5576,109.74,20,9,6.62,SA,1690821067
299,usinsk,65.9939,57.5281,72.55,61,56,7.34,RU,1690821067
300,nemuro,43.3236,145.575,58.89,100,99,6.51,JP,1690821067
301,irbit,57.6705,63.071,67.26,74,90,5.08,RU,1690821068
302,dudinka,69.4058,86.1778,61.63,80,13,11.68,RU,1690821068
303,cova figueira,14.8905,-24.2934,76.15,80,27,6.67,CV,1690821068
304,solnechnyy,50.7214,136.6319,66.7,84,100,6.2,RU,1690820960
305,porto novo,6.4965,2.6036,80.42,84,95,11.68,BJ,1690821069
306,tual,-5.6667,132.75,78.33,86,47,20.24,ID,1690821069
307,laurentides,46.4334,-74.9826,62.71,37,33,9.89,CA,1690821069
308,fuglafjordur,62.244,-6.814,55.87,89,99,9.86,FO,1690821070
309,puerto san jose,13.9256,-90.8244,87.44,62,34,6.93,GT,1690821070
310,carrigaline,51.8117,-8.3986,65.95,72,40,14.97,IE,1690821070
311,thunder bay,48.4001,-89.3168,64.38,77,100,2.3,CA,1690820872
312,cabedelo,-6.9811,-34.8339,84.87,68,9,17.49,BR,1690820915
313,pudozh,61.8099,36.5345,61.54,96,97,3.91,RU,1690821071
314,kolonia,50.9333,6.95,68.58,78,100,12.66,DE,1690821047
315,egilsstadir,65.2653,-14.3948,55.31,62,75,6.91,IS,1690821072
316,mao,39.8885,4.2658,82.96,57,20,6.91,ES,1690821072
317,cockburn town,21.4612,-71.1419,84.15,78,70,14.61,TC,1690821072
318,tenenkou,14.4572,-4.9169,99.93,29,44,7.0,ML,1690821072
319,celestun,20.8667,-90.4,83.53,75,100,5.26,MX,1690821073
320,bac lieu,9.285,105.7244,79.48,88,100,8.21,VN,1690821073
321,dryden,49.7833,-92.7503,66.49,72,100,4.61,CA,1690821073
322,talnakh,69.4865,88.3972,61.21,80,9,3.98,RU,1690821073
323,saint-philippe,-21.3585,55.7679,69.39,86,37,13.35,RE,1690821074
324,yantarnyy,54.8717,19.9381,66.06,75,80,16.28,RU,1690821074
325,novyy urgal,51.0736,132.5642,66.4,85,100,7.23,RU,1690821074
326,ketchikan,55.3422,-131.6461,59.47,88,100,6.91,US,1690821075
327,touros,-5.1989,-35.4608,83.68,61,4,20.22,BR,1690821075
328,lompoc,34.6391,-120.4579,81.79,100,40,0.0,US,1690821075
329,ivdel',60.6911,60.4206,63.39,70,76,2.21,RU,1690821076
330,sijunjung,-0.6876,100.9537,72.57,95,99,1.03,ID,1690821076
331,lahad datu,5.0268,118.327,77.7,86,6,2.95,MY,1690821076
332,adrar,20.5022,-10.0711,106.0,16,7,8.75,MR,1690821077
333,englewood,39.6478,-104.9878,84.34,63,40,5.75,US,1690820870
334,tippi,7.2,35.45,64.78,98,100,1.88,ET,1690821077
335,al hawatah,13.4167,34.6333,83.21,60,91,16.69,SD,1690821078
336,xilin hot,43.9667,116.0333,70.16,86,100,9.73,CN,1690821078
337,yamada,39.4667,141.95,73.87,87,100,4.25,JP,1690821078
338,vorkuta,67.5,64.0,66.87,67,61,3.62,RU,1690821078
